PROJECT ID,PROJECT NAME,PROJECT STATUS,PRODUCT LINE,REGION,COUNTRY,LENDING INSTRUMENT,LENDING INSTRUMENT TYPE,ENV. CATEGORY,IMP AGENCY,SECTOR 1,APPROVAL DATE,CLOSING DATE,commitment_total,disbursement_total,d1,pct_dis1,total_pct_dis1,d2,pct_dis2,total_pct_dis2,d3,pct_dis3,total_pct_dis3,d4,pct_dis4,total_pct_dis4,d5,pct_dis5,total_pct_dis5,d6,pct_dis6,total_pct_dis6,d7,pct_dis7,total_pct_dis7,full_duration,ad1,d1_duration,d1_pct_duration,ad2,d2_duration,d2_pct_duration,ad3,d3_duration,d3_pct_duration,ad4,d4_duration,d4_pct_duration,ad5,d5_duration,d5_pct_duration,ad6,d6_duration,d6_pct_duration,ad7,d7_duration,d7_pct_duration
P117234,Sixth Poverty Reduction Support Credit (PRSC6),Closed,IBRD/IDA,AFRICA,Mozambique,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,General public administration sector,12-Nov-09,31-Oct-10,110000000,109984445,109984445,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,11,12-Nov-09,0,,,,,,,,,,,,,,,,,,,
P117237,Nigeria First Lagos State Development Policy Credit,Closed,IBRD/IDA,AFRICA,Nigeria,Development Policy Lending,DEVELOPMENT POLICY LENDING,,LAGOS STATE GOVERNMENT,Sub-national government administration,17-Mar-11,30-Jun-12,200000000,196668087,196668087,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,15,17-Mar-11,0,,,,,,,,,,,,,,,,,,,
P117238,MW-PRSC-3,Closed,IBRD/IDA,AFRICA,Malawi,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Central government administration,8-Jun-10,31-May-11,54000000,52676847.31,52676847.31,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,11,8-Jun-10,0,,,,,,,,,,,,,,,,,,,
P117243,Sustainable Management of Agricultural Research and Technology Dissemination (SMARTD),Active,IBRD/IDA,EAST ASIA AND PACIFIC,Indonesia,Specific Investment Loan,INVESTMENT,B,INDONESIAN AGENCY FOR AGRICULTURAL RESEARCH AND DEVELOPMENT,Agricultural extension and research,2-Aug-12,30-Sep-17,80000000,24771605.39,24771605.39,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,61,2-Aug-12,0,,,,,,,,,,,,,,,,,,,
P117244,"Rio State Fiscal Sustainability, Human Development and Competitiveness DPL",Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,Brazil,Development Policy Lending,DEVELOPMENT POLICY LENDING,,STATE SECRETARIAT OF FINANCE,Central government administration,2-Feb-10,31-Dec-10,485000000,485000000,485000000,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,10,2-Feb-10,0,,,,,,,,,,,,,,,,,,,
P117260,Additional Financing - Energy Development and Access Expansion Project,Active,IBRD/IDA,AFRICA,Tanzania,Financial Intermediary Loan,INVESTMENT,B,MINISTRY OF ENERGY AND MINERALS,Other Renewable Energy,6-Apr-10,N/A,25000000,0,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,Err:520,Err:520,0,#DIV/0!,#DIV/0!,0,Err:520,Err:520,0,Err:520,Err:520,Err:520,,,,,,,,,,,,,,,,,,,,,
P117270,ML-Fourth Poverty Reduction Support Credit,Closed,IBRD/IDA,AFRICA,Mali,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Health,3-Jun-10,31-Dec-10,70500000,70255920,70255920,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6,3-Jun-10,0,,,,,,,,,,,,,,,,,,,
P117273,Poverty Reduction Support Credit 4,Closed,IBRD/IDA,AFRICA,Senegal,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF ECONOMY AND FINANCE,Central government administration,1-Jun-10,31-Mar-11,43000000,42073748,42073748,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,9,1-Jun-10,0,,,,,,,,,,,,,,,,,,,
P117278,Poverty Reduction Support Credit (10),Closed,IBRD/IDA,AFRICA,Burkina Faso,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE AND BUDGET AND OTHER MINISTRIES,General public administration sector,29-Jun-10,30-Jun-11,90000000,91893068,91893068,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,12,29-Jun-10,0,,,,,,,,,,,,,,,,,,,
P117279,Third Reengagement and Reform Support Program,Closed,IBRD/IDA,AFRICA,Liberia,Development Policy Lending,DEVELOPMENT POLICY LENDING,,MINISTRY OF FINANCE,Central government administration,30-Sep-10,30-Jun-11,11000000,11485200,11485200,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,9,30-Sep-10,0,,,,,,,,,,,,,,,,,,,
